subject_id,gender,age,height,weight,chest,waist,hip,thigh,calf,arm,shoulder,image_path,front_image_path,side_image_path,front_camera_number,side_camera_number
M088,M,34,163.1,74.0,98.6,89.0,97.4,59.1,37.0,35.4,42.0,ml/body_measurement/data/raw_test_data/M088_front.jpg,ml/body_measurement/data/raw_test_data/M088_front.jpg,ml/body_measurement/data/raw_test_data/M088_side.jpg,3,12
M090,M,22,178.5,85.6,99.2,91.0,99.0,61.3,41.0,34.5,43.3,ml/body_measurement/data/raw_test_data/M090_front.jpg,ml/body_measurement/data/raw_test_data/M090_front.jpg,ml/body_measurement/data/raw_test_data/M090_side.jpg,3,12
M093,M,33,170.6,63.6,91.1,81.0,87.5,48.4,34.0,31.5,40.6,ml/body_measurement/data/raw_test_data/M093_front.jpg,ml/body_measurement/data/raw_test_data/M093_front.jpg,ml/body_measurement/data/raw_test_data/M093_side.jpg,3,12
M094,M,23,168.1,68.4,95.2,82.9,92.8,55.7,37.5,30.5,36.6,ml/body_measurement/data/raw_test_data/M094_front.jpg,ml/body_measurement/data/raw_test_data/M094_front.jpg,ml/body_measurement/data/raw_test_data/M094_side.jpg,3,12
M095,M,52,172.8,65.8,91.8,81.2,87.0,50.5,35.9,28.1,41.4,ml/body_measurement/data/raw_test_data/M095_front.jpg,ml/body_measurement/data/raw_test_data/M095_front.jpg,ml/body_measurement/data/raw_test_data/M095_side.jpg,3,12
M099,M,20,175.6,53.4,81.3,61.3,85.0,47.5,33.3,26.4,39.8,ml/body_measurement/data/raw_test_data/M099_front.jpg,ml/body_measurement/data/raw_test_data/M099_front.jpg,ml/body_measurement/data/raw_test_data/M099_side.jpg,3,12
M116,M,29,172.6,73.8,95.5,85.8,95.8,58.3,37.9,31.9,41.4,ml/body_measurement/data/raw_test_data/M116_front.jpg,ml/body_measurement/data/raw_test_data/M116_front.jpg,ml/body_measurement/data/raw_test_data/M116_side.jpg,3,12
M119,M,30,165.6,68.4,98.1,73.1,92.0,59.8,37.1,34.7,41.6,ml/body_measurement/data/raw_test_data/M119_front.jpg,ml/body_measurement/data/raw_test_data/M119_front.jpg,ml/body_measurement/data/raw_test_data/M119_side.jpg,3,12
M120,M,69,165.2,76.4,97.4,99.8,97.6,58.2,35.8,33.6,38.2,ml/body_measurement/data/raw_test_data/M120_front.jpg,ml/body_measurement/data/raw_test_data/M120_front.jpg,ml/body_measurement/data/raw_test_data/M120_side.jpg,3,12
M133,M,46,175.4,76.8,88.9,83.5,95.5,58.6,39.8,31.2,42.1,ml/body_measurement/data/raw_test_data/M133_front.jpg,ml/body_measurement/data/raw_test_data/M133_front.jpg,ml/body_measurement/data/raw_test_data/M133_side.jpg,3,12
M138,M,24,168.4,58.8,85.6,70.7,85.5,52.4,32.4,29.8,41.4,ml/body_measurement/data/raw_test_data/M138_front.jpg,ml/body_measurement/data/raw_test_data/M138_front.jpg,ml/body_measurement/data/raw_test_data/M138_side.jpg,3,12
M143,M,59,169.5,55.7,84.2,72.6,83.8,45.9,35.4,26.3,35.6,ml/body_measurement/data/raw_test_data/M143_front.jpg,ml/body_measurement/data/raw_test_data/M143_front.jpg,ml/body_measurement/data/raw_test_data/M143_side.jpg,3,12
M149,M,49,173.6,57.6,79.5,70.3,86.7,47.3,34.7,26.3,37.7,ml/body_measurement/data/raw_test_data/M149_front.jpg,ml/body_measurement/data/raw_test_data/M149_front.jpg,ml/body_measurement/data/raw_test_data/M149_side.jpg,3,12
M151,M,38,172.9,71.7,93.7,83.2,93.1,53.9,37.5,32.2,39.7,ml/body_measurement/data/raw_test_data/M151_front.jpg,ml/body_measurement/data/raw_test_data/M151_front.jpg,ml/body_measurement/data/raw_test_data/M151_side.jpg,3,12
M156,M,29,172.2,66.0,87.4,78.5,89.5,52.5,35.1,31.2,38.4,ml/body_measurement/data/raw_test_data/M156_front.jpg,ml/body_measurement/data/raw_test_data/M156_front.jpg,ml/body_measurement/data/raw_test_data/M156_side.jpg,3,12
M158,M,38,177.9,77.8,57.3,86.2,95.3,56.0,39.8,32.0,40.9,ml/body_measurement/data/raw_test_data/M158_front.jpg,ml/body_measurement/data/raw_test_data/M158_front.jpg,ml/body_measurement/data/raw_test_data/M158_side.jpg,3,12
M160,M,40,166.0,60.7,87.0,77.1,89.7,52.6,36.1,28.2,39.5,ml/body_measurement/data/raw_test_data/M160_front.jpg,ml/body_measurement/data/raw_test_data/M160_front.jpg,ml/body_measurement/data/raw_test_data/M160_side.jpg,3,12
M163,M,62,170.9,54.5,8.2,73.2,84.5,46.7,32.2,25.0,38.5,ml/body_measurement/data/raw_test_data/M163_front.jpg,ml/body_measurement/data/raw_test_data/M163_front.jpg,ml/body_measurement/data/raw_test_data/M163_side.jpg,3,12
M164,M,44,166.7,72.9,95.0,91.5,92.5,56.2,37.5,32.3,41.6,ml/body_measurement/data/raw_test_data/M164_front.jpg,ml/body_measurement/data/raw_test_data/M164_front.jpg,ml/body_measurement/data/raw_test_data/M164_side.jpg,3,12
M168,M,28,176.2,67.5,93.0,74.4,92.5,53.0,34.8,29.9,40.3,ml/body_measurement/data/raw_test_data/M168_front.jpg,ml/body_measurement/data/raw_test_data/M168_front.jpg,ml/body_measurement/data/raw_test_data/M168_side.jpg,3,12
M170,M,30,174.8,70.2,93.6,78.2,90.8,53.0,36.3,32.0,40.7,ml/body_measurement/data/raw_test_data/M170_front.jpg,ml/body_measurement/data/raw_test_data/M170_front.jpg,ml/body_measurement/data/raw_test_data/M170_side.jpg,3,12
M173,M,35,172.3,62.6,86.1,78.5,89.3,51.5,33.3,29.0,37.3,ml/body_measurement/data/raw_test_data/M173_front.jpg,ml/body_measurement/data/raw_test_data/M173_front.jpg,ml/body_measurement/data/raw_test_data/M173_side.jpg,3,12
M176,M,22,171.2,76.5,97.8,76.9,96.5,61.5,37.9,35.7,39.9,ml/body_measurement/data/raw_test_data/M176_front.jpg,ml/body_measurement/data/raw_test_data/M176_front.jpg,ml/body_measurement/data/raw_test_data/M176_side.jpg,3,12
M178,M,22,168.5,59.5,84.0,68.3,87.0,52.1,34.1,29.5,39.7,ml/body_measurement/data/raw_test_data/M178_front.jpg,ml/body_measurement/data/raw_test_data/M178_front.jpg,ml/body_measurement/data/raw_test_data/M178_side.jpg,3,12
M181,M,35,165.4,60.5,85.0,74.2,86.9,52.0,36.2,28.6,36.9,ml/body_measurement/data/raw_test_data/M181_front.jpg,ml/body_measurement/data/raw_test_data/M181_front.jpg,ml/body_measurement/data/raw_test_data/M181_side.jpg,3,12
M184,M,35,167.7,68.8,103.7,76.0,89.8,57.0,37.4,33.4,42.0,ml/body_measurement/data/raw_test_data/M184_front.jpg,ml/body_measurement/data/raw_test_data/M184_front.jpg,ml/body_measurement/data/raw_test_data/M184_side.jpg,3,12
M187,M,23,165.0,57.6,82.8,70.1,88.4,53.9,34.7,28.0,39.5,ml/body_measurement/data/raw_test_data/M187_front.jpg,ml/body_measurement/data/raw_test_data/M187_front.jpg,ml/body_measurement/data/raw_test_data/M187_side.jpg,3,12
M189,M,25,179.5,66.4,89.2,71.3,93.5,54.0,36.0,30.1,42.5,ml/body_measurement/data/raw_test_data/M189_front.jpg,ml/body_measurement/data/raw_test_data/M189_front.jpg,ml/body_measurement/data/raw_test_data/M189_side.jpg,3,12
M195,M,53,158.0,60.2,88.7,77.8,87.5,53.4,36.3,28.8,37.7,ml/body_measurement/data/raw_test_data/M195_front.jpg,ml/body_measurement/data/raw_test_data/M195_front.jpg,ml/body_measurement/data/raw_test_data/M195_side.jpg,3,12
M211,M,43,178.9,68.1,88.1,77.4,92.0,53.6,35.4,27.1,41.0,ml/body_measurement/data/raw_test_data/M211_front.jpg,ml/body_measurement/data/raw_test_data/M211_front.jpg,ml/body_measurement/data/raw_test_data/M211_side.jpg,3,12
M215,M,23,175.1,69.0,93.9,78.3,94.6,56.0,34.8,30.8,39.9,ml/body_measurement/data/raw_test_data/M215_front.jpg,ml/body_measurement/data/raw_test_data/M215_front.jpg,ml/body_measurement/data/raw_test_data/M215_side.jpg,3,12
M216,M,37,177.0,85.1,96.7,91.0,101.2,61.2,41.4,33.3,40.0,ml/body_measurement/data/raw_test_data/M216_front.jpg,ml/body_measurement/data/raw_test_data/M216_front.jpg,ml/body_measurement/data/raw_test_data/M216_side.jpg,3,12
M221,M,30,170.5,58.6,82.2,71.0,87.3,48.6,33.0,28.0,40.3,ml/body_measurement/data/raw_test_data/M221_front.jpg,ml/body_measurement/data/raw_test_data/M221_front.jpg,ml/body_measurement/data/raw_test_data/M221_side.jpg,3,12
M225,M,27,168.5,71.2,95.4,79.7,96.0,60.1,36.1,32.4,38.5,ml/body_measurement/data/raw_test_data/M225_front.jpg,ml/body_measurement/data/raw_test_data/M225_front.jpg,ml/body_measurement/data/raw_test_data/M225_side.jpg,3,12
M226,M,27,163.5,77.1,102.7,87.2,96.5,57.3,38.1,35.1,41.7,ml/body_measurement/data/raw_test_data/M226_front.jpg,ml/body_measurement/data/raw_test_data/M226_front.jpg,ml/body_measurement/data/raw_test_data/M226_side.jpg,3,12
M231,M,27,168.3,62.1,81.5,76.4,90.3,54.1,36.0,28.9,38.6,ml/body_measurement/data/raw_test_data/M231_front.jpg,ml/body_measurement/data/raw_test_data/M231_front.jpg,ml/body_measurement/data/raw_test_data/M231_side.jpg,3,12
M242,M,34,167.6,74.0,93.6,87.6,94.6,56.3,33.3,33.6,42.8,ml/body_measurement/data/raw_test_data/M242_front.jpg,ml/body_measurement/data/raw_test_data/M242_front.jpg,ml/body_measurement/data/raw_test_data/M242_side.jpg,3,12
M265,M,29,168.2,60.1,85.5,72.8,84.3,51.2,35.6,30.8,36.4,ml/body_measurement/data/raw_test_data/M265_front.jpg,ml/body_measurement/data/raw_test_data/M265_front.jpg,ml/body_measurement/data/raw_test_data/M265_side.jpg,3,12
M270,M,24,175.1,68.4,92.7,73.3,92.6,52.8,36.2,30.3,38.3,ml/body_measurement/data/raw_test_data/M270_front.jpg,ml/body_measurement/data/raw_test_data/M270_front.jpg,ml/body_measurement/data/raw_test_data/M270_side.jpg,3,12
M272,M,27,179.0,73.1,89.6,81.9,99.9,53.4,37.7,31.1,41.1,ml/body_measurement/data/raw_test_data/M272_front.jpg,ml/body_measurement/data/raw_test_data/M272_front.jpg,ml/body_measurement/data/raw_test_data/M272_side.jpg,3,12
M279,M,39,168.7,63.7,85.3,74.6,92.4,57.0,35.4,29.3,36.9,ml/body_measurement/data/raw_test_data/M279_front.jpg,ml/body_measurement/data/raw_test_data/M279_front.jpg,ml/body_measurement/data/raw_test_data/M279_side.jpg,3,12
M284,M,30,164.3,62.6,89.9,76.0,88.0,53.5,35.6,31.1,34.2,ml/body_measurement/data/raw_test_data/M284_front.jpg,ml/body_measurement/data/raw_test_data/M284_front.jpg,ml/body_measurement/data/raw_test_data/M284_side.jpg,3,12
M288,M,55,167.4,74.6,100.3,88.0,96.4,56.7,35.6,32.6,38.7,ml/body_measurement/data/raw_test_data/M288_front.jpg,ml/body_measurement/data/raw_test_data/M288_front.jpg,ml/body_measurement/data/raw_test_data/M288_side.jpg,3,12
M290,M,30,174.6,61.4,83.3,71.9,87.4,49.7,35.2,28.1,37.8,ml/body_measurement/data/raw_test_data/M290_front.jpg,ml/body_measurement/data/raw_test_data/M290_front.jpg,ml/body_measurement/data/raw_test_data/M290_side.jpg,3,12
M292,M,30,177.8,64.8,84.8,75.2,85.5,50.6,35.0,29.1,41.9,ml/body_measurement/data/raw_test_data/M292_front.jpg,ml/body_measurement/data/raw_test_data/M292_front.jpg,ml/body_measurement/data/raw_test_data/M292_side.jpg,3,12
M295,M,36,177.8,74.8,93.5,79.3,94.8,56.2,38.5,30.1,40.4,ml/body_measurement/data/raw_test_data/M295_front.jpg,ml/body_measurement/data/raw_test_data/M295_front.jpg,ml/body_measurement/data/raw_test_data/M295_side.jpg,3,12
M300,M,63,170.4,56.9,83.5,69.9,85.5,47.1,33.6,26.9,35.1,ml/body_measurement/data/raw_test_data/M300_front.jpg,ml/body_measurement/data/raw_test_data/M300_front.jpg,ml/body_measurement/data/raw_test_data/M300_side.jpg,3,12
M302,M,24,167.3,88.5,108.0,99.5,105.1,66.3,40.0,36.1,37.4,ml/body_measurement/data/raw_test_data/M302_front.jpg,ml/body_measurement/data/raw_test_data/M302_front.jpg,ml/body_measurement/data/raw_test_data/M302_side.jpg,3,12
M309,M,58,165.5,57.1,82.4,74.7,88.9,50.7,32.4,27.6,35.0,ml/body_measurement/data/raw_test_data/M309_front.jpg,ml/body_measurement/data/raw_test_data/M309_front.jpg,ml/body_measurement/data/raw_test_data/M309_side.jpg,3,12
M332,M,53,171.2,79.2,101.6,92.0,94.5,95.4,39.1,32.6,39.4,ml/body_measurement/data/raw_test_data/M332_front.jpg,ml/body_measurement/data/raw_test_data/M332_front.jpg,ml/body_measurement/data/raw_test_data/M332_side.jpg,3,12
M336,M,27,164.7,62.5,86.3,76.1,91.0,56.5,35.3,30.3,35.6,ml/body_measurement/data/raw_test_data/M336_front.jpg,ml/body_measurement/data/raw_test_data/M336_front.jpg,ml/body_measurement/data/raw_test_data/M336_side.jpg,3,12
M346,M,66,171.1,83.4,102.1,97.2,100.2,54.6,39.0,34.4,42.8,ml/body_measurement/data/raw_test_data/M346_front.jpg,ml/body_measurement/data/raw_test_data/M346_front.jpg,ml/body_measurement/data/raw_test_data/M346_side.jpg,3,12
M356,M,35,179.3,81.7,95.6,83.7,98.4,60.5,38.4,35.3,40.9,ml/body_measurement/data/raw_test_data/M356_front.jpg,ml/body_measurement/data/raw_test_data/M356_front.jpg,ml/body_measurement/data/raw_test_data/M356_side.jpg,3,12
M360,M,56,172.8,105.6,113.4,116.5,109.5,64.1,44.5,37.2,40.7,ml/body_measurement/data/raw_test_data/M360_front.jpg,ml/body_measurement/data/raw_test_data/M360_front.jpg,ml/body_measurement/data/raw_test_data/M360_side.jpg,3,12
M369,M,36,174.3,63.8,88.9,76.1,91.0,52.1,33.6,29.4,37.0,ml/body_measurement/data/raw_test_data/M369_front.jpg,ml/body_measurement/data/raw_test_data/M369_front.jpg,ml/body_measurement/data/raw_test_data/M369_side.jpg,3,12
M385,M,65,160.4,57.2,87.1,80.3,85.4,48.7,35.9,27.9,36.6,ml/body_measurement/data/raw_test_data/M385_front.jpg,ml/body_measurement/data/raw_test_data/M385_front.jpg,ml/body_measurement/data/raw_test_data/M385_side.jpg,3,12
M404,M,44,174.7,83.7,101.8,91.2,101.2,60.2,41.2,33.6,40.1,ml/body_measurement/data/raw_test_data/M404_front.jpg,ml/body_measurement/data/raw_test_data/M404_front.jpg,ml/body_measurement/data/raw_test_data/M404_side.jpg,3,12
M406,M,59,162.3,74.4,97.3,95.1,94.1,54.3,36.9,31.9,37.6,ml/body_measurement/data/raw_test_data/M406_front.jpg,ml/body_measurement/data/raw_test_data/M406_front.jpg,ml/body_measurement/data/raw_test_data/M406_side.jpg,3,12
M407,M,43,171.2,68.1,93.2,78.1,92.8,93.1,36.9,31.9,36.8,ml/body_measurement/data/raw_test_data/M407_front.jpg,ml/body_measurement/data/raw_test_data/M407_front.jpg,ml/body_measurement/data/raw_test_data/M407_side.jpg,3,12
M412,M,32,176.8,77.6,95.8,83.7,99.5,58.2,40.5,33.1,39.1,ml/body_measurement/data/raw_test_data/M412_front.jpg,ml/body_measurement/data/raw_test_data/M412_front.jpg,ml/body_measurement/data/raw_test_data/M412_side.jpg,3,12
M417,M,75,154.7,59.0,88.2,85.7,89.6,48.7,33.5,26.8,34.8,ml/body_measurement/data/raw_test_data/M417_front.jpg,ml/body_measurement/data/raw_test_data/M417_front.jpg,ml/body_measurement/data/raw_test_data/M417_side.jpg,3,12
M419,M,51,171.4,68.7,93.7,84.6,87.9,48.7,36.9,29.2,40.8,ml/body_measurement/data/raw_test_data/M419_front.jpg,ml/body_measurement/data/raw_test_data/M419_front.jpg,ml/body_measurement/data/raw_test_data/M419_side.jpg,3,12
M424,M,66,167.3,65.5,95.3,85.6,89.5,50.2,32.4,31.4,36.7,ml/body_measurement/data/raw_test_data/M424_front.jpg,ml/body_measurement/data/raw_test_data/M424_front.jpg,ml/body_measurement/data/raw_test_data/M424_side.jpg,3,12
M454,M,73,159.9,54.0,79.8,71.7,85.7,48.4,33.2,28.0,35.5,ml/body_measurement/data/raw_test_data/M454_front.jpg,ml/body_measurement/data/raw_test_data/M454_front.jpg,ml/body_measurement/data/raw_test_data/M454_side.jpg,3,12
M456,M,75,161.8,54.6,84.2,79.0,88.2,44.4,30.8,26.2,38.6,ml/body_measurement/data/raw_test_data/M456_front.jpg,ml/body_measurement/data/raw_test_data/M456_front.jpg,ml/body_measurement/data/raw_test_data/M456_side.jpg,3,12
M460,M,73,175.2,65.6,92.7,81.8,92.3,48.0,35.6,27.6,41.1,ml/body_measurement/data/raw_test_data/M460_front.jpg,ml/body_measurement/data/raw_test_data/M460_front.jpg,ml/body_measurement/data/raw_test_data/M460_side.jpg,3,12
M463,M,77,162.1,46.9,81.3,74.8,82.5,39.5,30.5,25.0,36.2,ml/body_measurement/data/raw_test_data/M463_front.jpg,ml/body_measurement/data/raw_test_data/M463_front.jpg,ml/body_measurement/data/raw_test_data/M463_side.jpg,3,12
M465,M,67,159.5,66.7,93.1,89.7,91.6,49.8,34.8,29.1,35.5,ml/body_measurement/data/raw_test_data/M465_front.jpg,ml/body_measurement/data/raw_test_data/M465_front.jpg,ml/body_measurement/data/raw_test_data/M465_side.jpg,3,12
M468,M,27,168.8,80.9,100.7,98.0,102.9,63.7,39.6,35.9,37.4,ml/body_measurement/data/raw_test_data/M468_front.jpg,ml/body_measurement/data/raw_test_data/M468_front.jpg,ml/body_measurement/data/raw_test_data/M468_side.jpg,3,12
M470,M,26,170.5,56.0,84.3,69.7,83.2,47.6,32.9,28.5,38.2,ml/body_measurement/data/raw_test_data/M470_front.jpg,ml/body_measurement/data/raw_test_data/M470_front.jpg,ml/body_measurement/data/raw_test_data/M470_side.jpg,3,12
M472,M,59,177.2,73.9,95.2,86.3,96.2,53.3,37.0,29.5,40.2,ml/body_measurement/data/raw_test_data/M472_front.jpg,ml/body_measurement/data/raw_test_data/M472_front.jpg,ml/body_measurement/data/raw_test_data/M472_side.jpg,3,12
M476,M,58,165.4,65.9,92.4,83.6,89.8,53.4,35.5,30.2,37.5,ml/body_measurement/data/raw_test_data/M476_front.jpg,ml/body_measurement/data/raw_test_data/M476_front.jpg,ml/body_measurement/data/raw_test_data/M476_side.jpg,3,12
M481,M,76,159.9,64.3,97.2,91.3,92.2,53.3,35.8,28.8,37.4,ml/body_measurement/data/raw_test_data/M481_front.jpg,ml/body_measurement/data/raw_test_data/M481_front.jpg,ml/body_measurement/data/raw_test_data/M481_side.jpg,3,12
M497,M,75,157.4,63.9,90.3,87.0,95.6,54.0,35.0,29.9,37.5,ml/body_measurement/data/raw_test_data/M497_front.jpg,ml/body_measurement/data/raw_test_data/M497_front.jpg,ml/body_measurement/data/raw_test_data/M497_side.jpg,3,12
